 
,Player,Nation,Pos,Age,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
Brice Samba,fr FRA,GK,29-018,35,35,3150,35.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,60d90c55
Kevin Danso,at AUT,DF,24-236,35,35,3078,34.2,1,2,3,1,0,0,7,1,2.5,2.4,1.0,3.5,29,148,2,0.03,0.06,0.09,0.03,0.09,0.07,0.03,0.10,0.07,0.10,Matches,6e33125f
Seko Fofana,ci CIV,MF,28-006,33,32,2893,32.1,6,4,10,5,1,2,2,0,8.2,6.7,3.4,10.1,111,159,219,0.19,0.12,0.31,0.16,0.28,0.26,0.11,0.36,0.21,0.31,Matches,5313ed43
Florian Sotoca,fr FRA,MFFW,32-200,35,32,2858,31.8,6,8,14,5,1,3,4,0,10.3,7.9,7.9,15.8,44,174,266,0.19,0.25,0.44,0.16,0.41,0.32,0.25,0.57,0.25,0.50,Matches,7a42d0df
Salis Abdul Samed,gh GHA,MF,23-048,30,30,2624,29.2,1,1,2,1,0,0,5,1,0.9,0.9,1.5,2.5,29,146,39,0.03,0.03,0.07,0.03,0.07,0.03,0.05,0.08,0.03,0.08,Matches,82464ce3
Facundo Medina,ar ARG,DF,23-350,30,30,2599,28.9,2,3,5,2,0,0,6,0,2.4,2.4,0.9,3.3,75,226,29,0.07,0.10,0.17,0.07,0.17,0.08,0.03,0.11,0.08,0.11,Matches,6f5ec8bb
Jonathan Gradit,fr FRA,DF,30-170,30,30,2553,28.4,1,3,4,1,0,0,6,0,0.8,0.8,1.1,1.9,33,200,8,0.04,0.11,0.14,0.04,0.14,0.03,0.04,0.07,0.03,0.07,Matches,06c48679
Przemys?aw Frankowski,pl POL,DFMF,28-031,35,29,2658,29.5,5,3,8,2,3,3,4,0,4.2,1.8,6.6,8.5,48,128,228,0.17,0.10,0.27,0.07,0.17,0.14,0.23,0.37,0.06,0.29,Matches,00a8d210
Loïs Openda,be BEL,FW,23-086,35,26,2287,25.4,19,3,22,19,0,0,1,0,16.3,16.3,3.3,19.6,57,37,192,0.75,0.12,0.87,0.75,0.87,0.64,0.13,0.77,0.64,0.77,Matches,8652a85c
Deiver Machado,co COL,DFMF,29-253,30,23,1971,21.9,3,3,6,3,0,0,4,1,1.0,1.0,2.6,3.6,56,51,124,0.14,0.14,0.27,0.14,0.27,0.05,0.12,0.16,0.05,0.16,Matches,b3f8bdef
Massadio Haïdara,ml MLI,DFMF,30-162,33,16,1536,17.1,0,1,1,0,0,0,4,0,1.6,1.6,0.9,2.6,22,82,54,0.00,0.06,0.06,0.00,0.06,0.10,0.06,0.15,0.10,0.15,Matches,5167c97e
David Pereira da Costa,pt POR,MFFW,22-128,29,16,1384,15.4,1,3,4,1,0,0,2,0,2.7,2.7,4.0,6.7,61,112,132,0.07,0.20,0.26,0.07,0.26,0.17,0.26,0.43,0.17,0.43,Matches,59948ef7
Adrien Thomasson,fr FRA,MFFW,29-154,17,13,1052,11.7,3,3,6,3,0,0,1,0,2.2,2.2,1.6,3.8,15,42,79,0.26,0.26,0.51,0.26,0.51,0.19,0.14,0.33,0.19,0.33,Matches,c76b7567
Angelo Fulgini,fr FRA,FWMF,26-266,14,10,691,7.7,1,1,2,1,0,0,0,0,1.1,1.1,1.7,2.8,15,31,53,0.13,0.13,0.26,0.13,0.26,0.14,0.23,0.37,0.14,0.37,Matches,4b96c347
Jean Onana,cm CMR,MF,23-125,19,8,694,7.7,0,0,0,0,0,0,3,0,0.3,0.3,0.1,0.5,11,27,18,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Matches,b5bb8188
Wesley Saïd,fr FRA,FWMF,28-024,19,6,609,6.8,5,0,5,5,0,0,2,0,3.1,3.1,0.9,4.0,16,24,57,0.74,0.00,0.74,0.74,0.74,0.46,0.13,0.59,0.46,0.59,Matches,90fcf472
Jimmy Cabot,fr FRA,DFMF,29-025,11,5,511,5.7,0,1,1,0,0,0,2,0,0.3,0.3,2.1,2.4,26,29,65,0.00,0.18,0.18,0.00,0.18,0.05,0.37,0.43,0.05,0.43,Matches,46359159
Alexis Claude-Maurice,fr FRA,MFFW,24-341,17,4,526,5.8,3,2,5,3,0,0,0,0,1.1,1.1,0.8,1.9,10,24,40,0.51,0.34,0.86,0.51,0.86,0.19,0.13,0.32,0.19,0.32,Matches,741418c3
?ukasz Por?ba,pl POL,MF,23-061,10,3,260,2.9,0,1,1,0,0,0,1,0,0.6,0.6,0.7,1.3,3,20,18,0.00,0.35,0.35,0.00,0.35,0.20,0.24,0.44,0.20,0.44,Matches,be98f358
Julien Le Cardinal,fr FRA,DF,25-283,6,2,148,1.6,0,0,0,0,0,0,0,0,0.6,0.6,0.6,1.2,4,7,13,0.00,0.00,0.00,0.00,0.00,0.35,0.39,0.74,0.35,0.74,Matches,547a72ad
Rémy Labeau Lascary,gp GLP,FWMF,20-071,10,0,123,1.4,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,3,3,16,0.00,0.00,0.00,0.00,0.00,0.28,0.03,0.32,0.28,0.32,Matches,c90f380c
Ismaëlben Boura,fr FRA,DFFW,22-272,9,0,93,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,6,6,11,0.00,0.00,0.00,0.00,0.00,0.06,0.20,0.26,0.06,0.26,Matches,62e02107
Adam Buksa,pl POL,FWMF,26-305,6,0,66,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,3b676989
Ignatius Ganago,cm CMR,FW,24-086,4,0,59,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,3,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches,23c63b7f
Patrick Berg,no NOR,MFFW,25-170,3,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,4,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.17,0.00,0.17,Matches,e4114f5d
Gaël Kakuta,cd COD,FW,31-326,2,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.19,0.19,0.19,Matches,5b1bf5e3
Steven Fortes,cv CPV,DF,31-026,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,574aa9ec
Christopher Wooh,cm CMR,MF,21-237,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,b003239d
Ibrahima Baldé,fr FRA,FW,20-116,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,a30cb0d4
Yacouba Barry,fr FRA,MF,20-169,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,9e03d22e
