,Player,Nation,Pos,Age
0,Brice Samba,France,Gardien,29
1,Kevin Danso,Autriche,Défenseur,24
2,Seko Fofana,Côte d'Ivoire,Milieu Défensif,28
3,Florian Sotoca,France,Milieu Offensif,32
4,Salis Abdul Samed,Ghana,Milieu Défensif,23
5,Facundo Medina,Argentine,Défenseur,23
6,Jonathan Gradit,France,Défenseur,30
7,Przemys?aw Frankowski,Pologne,Latéral,28
8,Loïs Openda,Belgique,Attaquant,23
9,Deiver Machado,Colombie,Latéral,29
10,Massadio Haïdara,Mali,Latéral,30
11,David Pereira da Costa,Portugal,Milieu Offensif,22
12,Adrien Thomasson,France,Milieu Offensif,29
13,Angelo Fulgini,France,Milieu Offensif,26
14,Jean Onana,Cameroun,Milieu Défensif,23
15,Wesley Saïd,France,Milieu Offensif,28
16,Jimmy Cabot,France,Latéral,29
17,Alexis Claude-Maurice,France,Milieu Offensif,24
18,?ukasz Por?ba,Pologne,Milieu Défensif,23
19,Julien Le Cardinal,France,Défenseur,25
20,Rémy Labeau Lascary,,Milieu Offensif,20
21,Ismaëlben Boura,France,,22
22,Adam Buksa,Pologne,Milieu Offensif,26
23,Ignatius Ganago,Cameroun,Attaquant,24
24,Patrick Berg,Norvège,Milieu Offensif,25
25,Gaël Kakuta,République démocratique du Congo,Attaquant,31
26,Steven Fortes,Cap-Vert,Défenseur,31
27,Christopher Wooh,Cameroun,Milieu Défensif,21
28,Ibrahima Baldé,France,Attaquant,20
29,Yacouba Barry,France,Milieu Défensif,20
30,Nolan Bonte,France,Attaquant,19
31,Pierre Ganiou,France,Défenseur,18
32,Yaya Kader Fofana,Mali,Milieu Défensif,18
33,Jean-Louis Leca,France,Gardien,37
34,Adrien Louveau,France,Milieu Défensif,23
35,Yannick Pandor,Comores,Gardien,22
36,Valentin Rongier,France,Milieu Défensif,28
37,Pau López,Espagne,Gardien,28
38,Chancel Mbemba,République démocratique du Congo,Défenseur,28
39,Alexis Sánchez,Chili,Milieu Offensif,34
40,Jonathan Clauss,France,Défenseur,30
41,Jordan Veretout,France,Milieu Défensif,30
42,Leonardo Balerdi,Argentine,Défenseur,24
43,Cengiz Ünder,Turquie,Milieu Défensif,25
44,Nuno Tavares,Portugal,Latéral,23
45,Sead Kolainac,Bosnie-Herzégovine,Défenseur,29
46,Samuel Gigot,France,Défenseur,29
47,Mattéo Guendouzi,France,Milieu Défensif,24
48,Ruslan Malinovskyi,Ukraine,Milieu Offensif,30
49,Issa Kaboré,,Défenseur,22
50,Dimitri Payet,France,Milieu Offensif,36
51,Amine Harit,Maroc,Milieu Offensif,25
52,Gerson,Brésil,Milieu Défensif,25
53,Rubén Blanco,Espagne,Gardien,27
54,Pape Gueye,Sénégal,Milieu Défensif,24
55,Eric Bailly,Côte d'Ivoire,Défenseur,29
56,Vitinha,Portugal,Attaquant,23
57,Luis Javier Suárez,Colombie,Attaquant,25
58,Arkadiusz Milik,Pologne,Attaquant,29
59,Bamba Dieng,Sénégal,Milieu Offensif,23
60,Azzedine Ounahi,Maroc,Milieu Offensif,23
61,Souleymane Touré,France,Défenseur,20
62,Cédric Bakambu,République démocratique du Congo,Milieu Défensif,32
63,Duje ?aleta-Car,Croatie,Défenseur,26
64,Salim Ben Seghir,France,Milieu Défensif,20
65,Bartu? Elmaz,Turquie,Milieu Défensif,20
66,Pol Lirola,Espagne,Latéral,25
67,François Mughe,Cameroun,Attaquant,18
68,Simon Ngapandouetnbu,Cameroun,Gardien,20
69,Yakine Said Mmadi,Comores,Défenseur,19
70,Alexander Nübel,Allemagne,Gardien,26
71,Axel Disasi,France,Défenseur,25
72,Youssouf Fofana,France,Milieu Défensif,24
73,Caio Henrique Oliveira Silva,Brésil,Défenseur,25
74,Aleksandr Golovin,"Russie, Fédération de",Milieu Offensif,26
75,Wissam Ben Yedder,France,Attaquant,32
76,Mohamed Camara,Mali,Milieu Défensif,23
77,Guillermo Maripán,Chili,Défenseur,29
78,Krépin Diatta,Sénégal,Milieu Offensif,24
79,Vanderson,Brésil,Latéral,21
80,Breel Embolo,Suisse,Attaquant,26
81,Ruben Aguilar,France,Défenseur,30
82,Eliot Matazo,Belgique,Milieu Défensif,21
83,Eliesse Ben Seghir,France,Milieu Offensif,18
84,Benoît Badiashile,France,Défenseur,22
85,Malang Sarr,France,Défenseur,24
86,Takumi Minamino,Japon,Milieu Offensif,28
87,Kevin Volland,Allemagne,Milieu Offensif,30
88,Ismail Jakobs,Sénégal,Latéral,23
89,Maghnes Akliouche,France,Milieu Offensif,21
90,Gelson Martins,Portugal,Milieu Offensif,28
91,Jean Lucas,Brésil,Milieu Défensif,24
92,Chrislain Matsima,France,Défenseur,20
93,Myron Boadu,Pays-Bas,Attaquant,22
94,Edan Diop,France,Latéral,18
95,Sofiane Diop,France,Milieu Défensif,22
96,Soungoutou Magassa,Mali,Milieu Défensif,19
97,Thomas Didillon,France,Gardien,27
98,Félix Lemaréchal,Côte d'Ivoire,Milieu Défensif,19
99,Yllan Okou,France,Défenseur,20
100,Jonathan David,Canada,Attaquant,23
101,Angel Gomes,,Milieu Défensif,22
102,Benjamin André,France,Milieu Défensif,32
103,Lucas Chevalier,France,Gardien,21
104,Jonathan Bamba,France,Attaquant,27
105,José Fonte,Portugal,Défenseur,39
106,Bafodé Diakité,France,Défenseur,22
107,Rémy Cabella,France,Milieu Offensif,33
108,Tiago Djaló,Portugal,Défenseur,23
109,Ismaily,Brésil,Défenseur,33
110,André Gomes,Portugal,Milieu Défensif,29
111,Timothy Weah,États-Unis,,23
112,Alexsandro Ribeiro,Brésil,Défenseur,23
113,Edon Zhegrova,,,24
114,Adam Ounas,Algérie,Attaquant,26
115,Gabriel Gudmundsson,Suède,,24
