,Player,Year,Club
0,Brice Samba,2001-2002,Pacy Vallée d'Eure
1,Brice Samba,2002-2006,ALM Évreux
2,Brice Samba,2006-2012,Le Havre AC
3,Brice Samba,2012-2013,Le Havre AC
4,Brice Samba,2013-2017,Olympique de Marseille
5,Brice Samba,2015-2016,AS Nancy-Lorraine
6,Brice Samba,2017-2019,SM Caen
7,Brice Samba,2019-2022,Nottingham Forest
8,Brice Samba,2022-,RC Lens
9,Brice Samba,2013,France -19 ans
10,Brice Samba,2023-,France
11,Kevin Danso,2013-2014,Milton Keynes Dons
12,Kevin Danso,2013-2017,FC Augsbourg
13,Kevin Danso,2017-2021,FC Augsbourg
14,Kevin Danso,2019-2020,Southampton FC
15,Kevin Danso,2020-2021,Fortuna Düsseldorf
16,Kevin Danso,2021-,RC Lens
17,Kevin Danso,2013,Autriche -15 ans
18,Kevin Danso,2013,Autriche -16 ans
19,Kevin Danso,2015,Autriche -17 ans
20,Kevin Danso,2015-2016,Autriche -18 ans
21,Kevin Danso,2016,Autriche -19 ans
22,Kevin Danso,2018-2020,Autriche espoirs
23,Kevin Danso,2017-,Autriche
24,Seko Fofana,2004-2010,Paris FC
25,Seko Fofana,2010-2013,FC Lorient
26,Seko Fofana,2013-2014,Manchester City
27,Seko Fofana,2014-2016,Manchester City
28,Seko Fofana,2014-2015,Fulham FC
29,Seko Fofana,2015-2016,SC Bastia
30,Seko Fofana,2016-2020,Udinese Calcio
31,Seko Fofana,2020-,RC Lens
32,Seko Fofana,2010-2011,France -16 ans
33,Seko Fofana,2011-2012,France -17 ans
34,Seko Fofana,2012-2013,France -18 ans
35,Seko Fofana,2013,France -19 ans
36,Seko Fofana,2017-,Côte d'Ivoire
37,Florian Sotoca,1996-2009,
38,Florian Sotoca,2012-2013,
39,Florian Sotoca,2013-2014,FC Martigues
40,Florian Sotoca,2014-2015,AS Béziers
41,Florian Sotoca,2015-2016,Montpellier HSC
42,Florian Sotoca,2016-2019,Grenoble Foot 38
43,Florian Sotoca,2019-,RC Lens
44,Florian Sotoca,2013,
45,Salis Abdul Samed,2019-2022,Clermont Foot
46,Salis Abdul Samed,2022-,RC Lens
47,Salis Abdul Samed,2022-,Ghana
48,Facundo Medina,2016-2017,River Plate
49,Facundo Medina,2017-2018,CA Talleres
50,Facundo Medina,2018-2020,CA Talleres
51,Facundo Medina,2020-,RC Lens
52,Facundo Medina,2018-2019,Argentine -20 ans
53,Facundo Medina,2020-2021,Argentine -23 ans
54,Facundo Medina,2021-,Argentine olympique
55,Facundo Medina,2020-,Argentine
56,Jonathan Gradit,2012-2013,Aviron bayonnais
57,Jonathan Gradit,2013-2018,Tours FC
58,Jonathan Gradit,2018-2019,SM Caen
59,Jonathan Gradit,2019-,RC Lens
60,Przemys?aw Frankowski,2012-2014,Lechia Gdańsk
61,Przemys?aw Frankowski,2014-2019,Jagiellonia Białystok
62,Przemys?aw Frankowski,2019-2021,Chicago Fire
63,Przemys?aw Frankowski,2021-,RC Lens
64,Przemys?aw Frankowski,2011,
65,Przemys?aw Frankowski,2013,
66,Przemys?aw Frankowski,2013-2014,
67,Przemys?aw Frankowski,2014-2015,
68,Przemys?aw Frankowski,2015-2018,Pologne espoirs
69,Przemys?aw Frankowski,2018-,Pologne
70,Loïs Openda,2011-2013,RFC Liège
71,Loïs Openda,2013-2015,Standard de Liège
72,Loïs Openda,2015-2018,Club Bruges KV
73,Loïs Openda,2018-2022,Club Bruges KV
74,Loïs Openda,2020-2022,Vitesse Arnhem
75,Loïs Openda,2022-,RC Lens
76,Loïs Openda,2015,Belgique -15 ans
77,Loïs Openda,2015,Belgique -16 ans
78,Loïs Openda,2016-2017,Belgique -17 ans
79,Loïs Openda,2017,Belgique -18 ans
80,Loïs Openda,2018-2019,Belgique -19 ans
81,Loïs Openda,2019-,Belgique espoirs
82,Loïs Openda,2022-,Belgique
83,Deiver Machado,2012-2013,Atlético Nacional
84,Deiver Machado,2013-2014,Alianza Petrolera
85,Deiver Machado,2014-2017,Millonarios FC
86,Deiver Machado,2017-2020,KAA La Gantoise
87,Deiver Machado,2017-2019,Atlético Nacional
88,Deiver Machado,2020-2021,Toulouse FC
