,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
Gianluigi Donnarumma,it ITA,GK,24-077,34,34,3060,34.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,08f5afaa
Marquinhos,br BRA,DF,28-364,30,28,2527,28.1,2,0,2,2,0,0,3,0,1.9,1.9,0.5,2.4,4,86,13,0.07,0.00,0.07,0.07,0.07,0.07,0.02,0.09,0.07,0.09,Matches,d5f2f82b
Lionel Messi,ar ARG,FWMF,35-323,28,28,2477,27.5,15,15,30,15,0,0,0,0,14.1,14.1,11.8,25.9,108,257,197,0.55,0.55,1.09,0.55,1.09,0.51,0.43,0.94,0.51,0.94,Matches,d70ce98e
Kylian Mbappé,fr FRA,FW,24-144,30,28,2458,27.3,24,4,28,22,2,4,5,0,22.4,19.1,6.7,25.9,149,113,404,0.88,0.15,1.03,0.81,0.95,0.82,0.25,1.07,0.70,0.95,Matches,42fd9c7f
Sergio Ramos,es ESP,DF,37-044,29,27,2344,26.0,1,1,2,1,0,0,3,1,1.4,1.4,0.1,1.5,14,145,7,0.04,0.04,0.08,0.04,0.08,0.05,0.01,0.06,0.05,0.06,Matches,08511d65
Vitinha,pt POR,MF,23-089,32,27,2243,24.9,2,2,4,2,0,0,2,0,2.9,2.9,2.2,5.2,47,125,92,0.08,0.08,0.16,0.08,0.16,0.12,0.09,0.21,0.12,0.21,Matches,3b029691
Danilo Pereira,pt POR,DFMF,31-246,29,23,2073,23.0,2,0,2,2,0,0,2,0,2.3,2.3,0.5,2.8,20,133,10,0.09,0.00,0.09,0.09,0.09,0.10,0.02,0.12,0.10,0.12,Matches,8fd9996f
Marco Verratti,it ITA,MF,30-189,25,23,1861,20.7,0,0,0,0,0,0,9,1,0.7,0.7,2.1,2.9,38,238,44,0.00,0.00,0.00,0.00,0.00,0.04,0.10,0.14,0.04,0.14,Matches,1467af0d
Achraf Hakimi,ma MAR,DFMF,24-190,26,21,1887,21.0,4,3,7,4,0,0,7,1,3.3,3.3,2.8,6.1,77,90,202,0.19,0.14,0.33,0.19,0.33,0.16,0.14,0.29,0.16,0.29,Matches,e42d61c7
Fabián Ruiz Peña,es ESP,MF,27-040,25,19,1751,19.5,2,1,3,2,0,0,0,0,2.3,2.3,1.5,3.8,29,113,77,0.10,0.05,0.15,0.10,0.15,0.12,0.08,0.20,0.12,0.20,Matches,c0c7ff58
Nuno Mendes,pt POR,DF,20-328,23,18,1548,17.2,1,6,7,1,0,0,2,0,1.0,1.0,2.8,3.9,51,77,195,0.06,0.35,0.41,0.06,0.41,0.06,0.17,0.23,0.06,0.23,Matches,f20e4cc9
Neymar,br BRA,MFFW,31-097,20,18,1545,17.2,13,11,24,11,2,2,6,1,8.1,6.5,8.8,15.3,69,161,127,0.76,0.64,1.40,0.64,1.28,0.47,0.51,0.98,0.38,0.89,Matches,69384e5d
Juan Bernat,es ESP,DF,30-073,25,15,1386,15.4,1,4,5,1,0,0,1,0,0.9,0.9,2.7,3.6,22,27,115,0.06,0.26,0.32,0.06,0.32,0.06,0.18,0.23,0.06,0.23,Matches,433dc9a2
Carlos Soler,es ESP,MF,26-131,23,14,1138,12.6,3,2,5,3,0,0,0,0,1.6,1.6,1.4,3.0,18,48,64,0.24,0.16,0.40,0.24,0.40,0.13,0.11,0.24,0.13,0.24,Matches,fed17f5a
Nordi Mukiele,fr FRA,DF,25-193,19,12,1137,12.6,0,3,3,0,0,0,0,0,1.0,1.0,2.1,3.1,19,26,57,0.00,0.24,0.24,0.00,0.24,0.08,0.17,0.25,0.08,0.25,Matches,ac73ec79
Hugo Ekitike,fr FRA,FW,20-327,22,9,963,10.7,3,3,6,3,0,0,0,0,3.3,3.3,1.5,4.7,21,19,73,0.28,0.28,0.56,0.28,0.56,0.30,0.14,0.44,0.30,0.44,Matches,5b92d896
