,Player,Nation,Pos,Age
1,Gianluigi Donnarumma,Italie,Gardien,24
2,Marquinhos,Brésil,Défenseur,28
3,Lionel Messi,Argentine,Milieu Offensif,35
4,Kylian Mbappé,France,Attaquant,24
5,Sergio Ramos,Espagne,Défenseur,37
6,Vitinha,Portugal,Milieu Défensif,23
7,Danilo Pereira,Portugal,Latéral,31
8,Marco Verratti,Italie,Milieu Défensif,30
9,Achraf Hakimi,Maroc,Latéral,24
10,Fabián Ruiz Peña,Espagne,Milieu Défensif,27
11,Nuno Mendes,Portugal,Défenseur,20
12,Neymar,Brésil,Milieu Offensif,31
13,Juan Bernat,Espagne,Défenseur,30
14,Carlos Soler,Espagne,Milieu Défensif,26
15,Nordi Mukiele,France,Défenseur,25
16,Hugo Ekitike,France,Attaquant,20
17,Presnel Kimpembe,France,Défenseur,27
18,Warren Zaire-Emery,France,Milieu Défensif,17
19,Renato Sanches,Portugal,Milieu Défensif,25
20,El Chadaille Bitshiabu,France,Défenseur,17
21,Timothee Pembele,France,Défenseur,20
22,Pablo Sarabia,Espagne,Milieu Offensif,31
23,Ismaël Gharbi,Espagne,Milieu Offensif,19
24,Leandro Paredes,Argentine,Milieu Défensif,28
25,Ilyes Housni,France,Attaquant,17
26,Abdou Diallo,Sénégal,Défenseur,27
27,Nehemiah Fernandez,France,Défenseur,18
28,Arnaud Kalimuendo,France,Attaquant,21
29,Ayman Kari,France,Milieu Défensif,18
30,Hugo Lamy,France,Défenseur,19
31,Alexandre Letellier,France,Gardien,32
32,Keylor Navas,Costa Rica,Gardien,36
33,Serif Nhaga,Portugal,Défenseur,17
34,Sergio Rico,Espagne,Gardien,29
